,Title,Artist,Nationality,Years,Decades,Country
30185,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30186,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30187,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30188,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30189,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30190,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30191,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30192,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30193,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30194,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30195,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30196,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30197,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30198,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30199,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30200,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30201,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30202,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30203,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30204,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30205,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30206,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30207,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30208,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30209,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30210,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30211,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30212,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30213,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30214,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30215,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30216,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30217,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30218,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30219,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30220,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30221,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30222,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30223,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30224,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30225,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30226,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30227,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30228,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30229,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30230,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30231,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30232,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30233,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30234,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30235,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30236,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30237,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30238,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30239,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30240,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30241,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30242,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30243,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30244,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30245,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30246,"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1968,1960,America
30247,"German Pavilion, International Exposition, Barcelona, Spain (Floor plan, second preliminary scheme)",Ludwig Mies van der Rohe,(American),1968,1960,America
30248,"German Pavilion, International Exposition, Barcelona, Spain (Floor plan)",Ludwig Mies van der Rohe,(American),1968,1960,America
30249,Preparatory drawing for In Memory of My Feelings,Jane Wilson,(American),1967,1960,America
30250,Preparatory drawing for In Memory of My Feelings,Jane Wilson,(American),1967,1960,America
30251,Unused plate for Couinque,Jean Dubuffet,(French),1968,1960,France
30252,Unused plate for Couinque,Jean Dubuffet,(French),1968,1960,France
30253,Unused plate for Couinque,Jean Dubuffet,(French),1968,1960,France
30254,Unused plate for Couinque,Jean Dubuffet,(French),1968,1960,France
30255,Unused plate for Couinque,Jean Dubuffet,(French),1968,1960,France
30256,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30257,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30258,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30259,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30260,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30261,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30262,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30263,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30264,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30265,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30266,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30267,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30268,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30269,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30270,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30271,Bodies of Women (Corps de dames),Jean Dubuffet,(French),1965,1960,France
30272,"L'Escarmouche, no. 1",Various Artists,(),1964,1960,Unknown
30273,"L'Escarmouche, no. 2",Various Artists,(),1964,1960,Unknown
30274,"L'Escarmouche, no. 3",Various Artists,(),1964,1960,Unknown
30275,"L'Escarmouche, no. 4",Various Artists,(),1964,1960,Unknown
30276,"L'Escarmouche, no. 5",Various Artists,(),1964,1960,Unknown
30277,"L'Escarmouche, no. 6",Various Artists,(),1964,1960,Unknown
30278,"L'Escarmouche, no. 7",Various Artists,(),1964,1960,Unknown
30279,"L'Escarmouche, no. 8",Various Artists,(),1964,1960,Unknown
30280,"L'Escarmouche, no. 1",Various Artists,(),1964,1960,Unknown
30281,"L'Escarmouche, no. 2",Various Artists,(),1964,1960,Unknown
30282,Logic from Capriccios,William Gropper,(American),1964,1960,America
30283,Performance from Capriccios,William Gropper,(American),1964,1960,America
30284,Justice from Capriccios,William Gropper,(American),1964,1960,America
30285,A New Dawn from Capriccios,William Gropper,(American),1964,1960,America
30286,Psychosis from Capriccios,William Gropper,(American),1964,1960,America
30287,Ladder of Success from Capriccios,William Gropper,(American),1964,1960,America
30288,Environment from Capriccios,William Gropper,(American),1964,1960,America
30289,First Step from Capriccios,William Gropper,(American),1964,1960,America
30290,Pomp from Capriccios,William Gropper,(American),1964,1960,America
30291,Pegasus from Capriccios,William Gropper,(American),1964,1960,America
30292,Heroics from Capriccios,William Gropper,(American),1964,1960,America
30293,Vengeances from Capriccios,William Gropper,(American),1964,1960,America
30294,Nuclear Gods from Capriccios,William Gropper,(American),1964,1960,America
30295,Visionary from Capriccios,William Gropper,(American),1964,1960,America
30296,Whither from Capriccios,William Gropper,(American),1964,1960,America
30297,Blacklist from Capriccios,William Gropper,(American),1964,1960,America
30298,The Old Man from Capriccios,William Gropper,(American),1964,1960,America
30299,Fate from Capriccios,William Gropper,(American),1964,1960,America
30300,Alone from Capriccios,William Gropper,(American),1964,1960,America
30301,All God's Children from Capriccios,William Gropper,(American),1964,1960,America
30302,Tornado from Capriccios,William Gropper,(American),1964,1960,America
30303,Emancipation from Capriccios,William Gropper,(American),1964,1960,America
30304,The Horn Blowers from Capriccios,William Gropper,(American),1964,1960,America
30305,Echoes from Capriccios,William Gropper,(American),1964,1960,America
30306,I Gotta Gal from Capriccios,William Gropper,(American),1964,1960,America
30307,Masqueraders from Capriccios,William Gropper,(American),1964,1960,America
30308,Fear from Capriccios,William Gropper,(American),1964,1960,America
30309,Intoxication from Capriccios,William Gropper,(American),1964,1960,America
30310,Fall of the Gods from Capriccios,William Gropper,(American),1964,1960,America
30311,Dream from Capriccios,William Gropper,(American),1964,1960,America
30312,Grave Yard from Capriccios,William Gropper,(American),1964,1960,America
30313,Dictatorship from Capriccios,William Gropper,(American),1964,1960,America
30314,Eruption from Capriccios,William Gropper,(American),1964,1960,America
30315,Fame from Capriccios,William Gropper,(American),1964,1960,America
30316,Piece Work from Capriccios,William Gropper,(American),1964,1960,America
30317,Lust from Capriccios,William Gropper,(American),1964,1960,America
30318,Fledglings from Capriccios,William Gropper,(American),1964,1960,America
30319,Nostalgia from Capriccios,William Gropper,(American),1964,1960,America
30320,Fantasy from Capriccios,William Gropper,(American),1964,1960,America
30321,Awakening from Capriccios,William Gropper,(American),1964,1960,America
30322,Gossip Mongers from Capriccios,William Gropper,(American),1964,1960,America
30323,Playmates from Capriccios,William Gropper,(American),1964,1960,America
30324,The Spinster from Capriccios,William Gropper,(American),1964,1960,America
30325,Crisis from Capriccios,William Gropper,(American),1964,1960,America
30326,Informers from Capriccios,William Gropper,(American),1964,1960,America
30327,The Funny Men from Capriccios,William Gropper,(American),1964,1960,America
30328,Politicos from Capriccios,William Gropper,(American),1964,1960,America
30329,Uprooted from Capriccios,William Gropper,(American),1964,1960,America
30330,The Have and the Have Nots from Capriccios,William Gropper,(American),1964,1960,America
30331,Patrioteers from Capriccios,William Gropper,(American),1964,1960,America
30332,Plate from Le Musée de l'homme,Max Ernst,(French),1967,1960,France
30333,Plate from Le Musée de l'homme,Max Ernst,(French),1967,1960,France
30334,Shadblow,Edward Steichen,(American),1961,1960,America
30335,Shadblow,Edward Steichen,(American),1961,1960,America
30336,Shadblow,Edward Steichen,(American),1961,1960,America
30337,Shadblow,Edward Steichen,(American),1961,1960,America
30338,Shadblow,Edward Steichen,(American),1961,1960,America
30339,Shadblow,Edward Steichen,(American),1961,1960,America
30340,Shadblow,Edward Steichen,(American),1961,1960,America
30341,Shadblow,Edward Steichen,(American),1961,1960,America
30342,Shadblow,Edward Steichen,(American),1961,1960,America
30343,Ale Cans (colophon) from 1st Etchings,Jasper Johns,(American),1968,1960,America
30344,Front cover from La Fin du monde filmée par l'ange de N.-D. (The End of the World Filmed by the Angel of Notre Dame),Fernand Léger,(French),1964,1960,France
30345,Back cover from La Fin du monde filmée par l'ange de N.-D. (The End of the World Filmed by the Angel of Notre Dame),Fernand Léger,(French),1964,1960,France
30346,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30347,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30348,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30349,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30350,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30351,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30352,Study for Rhythm of a Russian Dance,Theo van Doesburg,(Dutch),1969,1960,Other
30353,Vignette (folio 2) from A Bestiary,Alexander Calder,(American),1964,1960,America
30354,Title page (folio 3) from A Bestiary,Alexander Calder,(American),1964,1960,America
30355,In-text plate (folio 4) from A Bestiary,Alexander Calder,(American),1964,1960,America
30356,Half title page (folio 5) from A Bestiary,Alexander Calder,(American),1964,1960,America
30357,Plate (folio 5 verso) from A Bestiary,Alexander Calder,(American),1964,1960,America
30358,In-text plate (page 2) from A Bestiary,Alexander Calder,(American),1964,1960,America
30359,In-text plate (page 4) from A Bestiary,Alexander Calder,(American),1964,1960,America
30360,Tailpiece (page 5) from A Bestiary,Alexander Calder,(American),1964,1960,America
30361,Plate (page 7) from A Bestiary,Alexander Calder,(American),1964,1960,America
30362,Headpiece (page 8) from A Bestiary,Alexander Calder,(American),1964,1960,America
30363,In-text plate (page 9) from A Bestiary,Alexander Calder,(American),1964,1960,America
30364,In-text plate (page 11) from A Bestiary,Alexander Calder,(American),1964,1960,America
30365,Plate (page 12) from A Bestiary,Alexander Calder,(American),1964,1960,America
30366,In-text plate (page 15) from A Bestiary,Alexander Calder,(American),1964,1960,America
30367,In-text plate (page 16) from A Bestiary,Alexander Calder,(American),1964,1960,America
30368,In-text plate (page 17) from A Bestiary,Alexander Calder,(American),1964,1960,America
30369,In-text plate (page 19) from A Bestiary,Alexander Calder,(American),1964,1960,America
30370,In-text plate (page 21) from A Bestiary,Alexander Calder,(American),1964,1960,America
30371,Plate (page 23) from A Bestiary,Alexander Calder,(American),1964,1960,America
30372,Plate (page 25) from A Bestiary,Alexander Calder,(American),1964,1960,America
30373,Tailpiece (page 26) from A Bestiary,Alexander Calder,(American),1964,1960,America
30374,Headpiece (page 27) from A Bestiary,Alexander Calder,(American),1964,1960,America
30375,Plate (page 28) from A Bestiary,Alexander Calder,(American),1964,1960,America
30376,In-text plate (page 30) from A Bestiary,Alexander Calder,(American),1964,1960,America
30377,In-text plate (page 31) from A Bestiary,Alexander Calder,(American),1964,1960,America
30378,In-text plate (page 32) from A Bestiary,Alexander Calder,(American),1964,1960,America
30379,In-text plate (page 33) from A Bestiary,Alexander Calder,(American),1964,1960,America
30380,Plate (page 35) from A Bestiary,Alexander Calder,(American),1964,1960,America
30381,In-text plate (page 36) from A Bestiary,Alexander Calder,(American),1964,1960,America
30382,Tailpiece (page 37) from A Bestiary,Alexander Calder,(American),1964,1960,America
30383,In-text plate (page 39) from A Bestiary,Alexander Calder,(American),1964,1960,America
30384,In-text plate (page 40) from A Bestiary,Alexander Calder,(American),1964,1960,America
30385,In-text plate (page 42) from A Bestiary,Alexander Calder,(American),1964,1960,America
30386,Tailpiece (page 43) from A Bestiary,Alexander Calder,(American),1964,1960,America
30387,In-text plate (page 44) from A Bestiary,Alexander Calder,(American),1964,1960,America
30388,In-text plate (page 45) from A Bestiary,Alexander Calder,(American),1964,1960,America
30389,Tailpiece (page 47) from A Bestiary,Alexander Calder,(American),1964,1960,America
30390,Headpiece (page 48) from A Bestiary,Alexander Calder,(American),1964,1960,America
30391,In-text plate (page 50) from A Bestiary,Alexander Calder,(American),1964,1960,America
30392,Plate (page 51) from A Bestiary,Alexander Calder,(American),1964,1960,America
30393,In-text plate (page 52) from A Bestiary,Alexander Calder,(American),1964,1960,America
30394,In-text plate (page 53) from A Bestiary,Alexander Calder,(American),1964,1960,America
30395,Plate (page 55) from A Bestiary,Alexander Calder,(American),1964,1960,America
30396,Tailpiece (page 57) from A Bestiary,Alexander Calder,(American),1964,1960,America
30397,In-text plate (page 58) from A Bestiary,Alexander Calder,(American),1964,1960,America
30398,In-text plate (page 59) from A Bestiary,Alexander Calder,(American),1964,1960,America
30399,In-text plate (page 61) from A Bestiary,Alexander Calder,(American),1964,1960,America
30400,Tailpiece (page 63) from A Bestiary,Alexander Calder,(American),1964,1960,America
30401,In-text plate (page 64) from A Bestiary,Alexander Calder,(American),1964,1960,America
30402,Plate (page 67) from A Bestiary,Alexander Calder,(American),1964,1960,America
30403,In-text plate (page 69) from A Bestiary,Alexander Calder,(American),1964,1960,America
30404,In-text plate (page 70) from A Bestiary,Alexander Calder,(American),1964,1960,America
30405,Plate (page 73) from A Bestiary,Alexander Calder,(American),1964,1960,America
30406,In-text plate (page 74) from A Bestiary,Alexander Calder,(American),1964,1960,America
30407,Vignette (folio 43) from A Bestiary,Alexander Calder,(American),1964,1960,America
30408,In-text plate (folio 44) from A Bestiary,Alexander Calder,(American),1964,1960,America
30409,"Frontispiece (folio 3) from Les Biches, vol. I",Jean Cocteau,(French),1964,1960,France
30410,"Plate (folio 10) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30411,"Plate (folio 16) from Les Biches, vol. I",Francis Poulenc,(French),1964,1960,France
30412,"Plate (folio 18) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30413,"Plate (folio 19) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30414,"Plate (folio 20) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30415,"Plate (folio 21) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30416,"Plate (folio 22) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30417,"Plate (folio 23) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30418,"Plate (folio 24) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30419,"Plate (folio 25) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30420,"Plate (folio 26) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30421,"Plate (folio 27) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30422,"Plate (folio 28) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30423,"Plate (folio 29) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30424,"Plate (folio 30) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30425,"Plate (folio 31) from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30426,"Cover from Les Biches, vol. I",Marie Laurencin,(French),1964,1960,France
30427,"Les Biches, vol. II","Various Artists, Marie Laurencin, Jean Cocteau, Francis Poulenc",() (French) (French) (French),1964,1960,France
30428,"Les Biches, vol. I","Various Artists, Marie Laurencin, Jean Cocteau, Francis Poulenc",() (French) (French) (French),1964,1960,France
30429,Plate (folio 8) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30430,Plate (folio 10) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30431,Plate (folio 12) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30432,Plate (folio 14) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30433,Plate (folio 16) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30434,Plate (folio 18) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30435,Plate (folio 20) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30436,Plate (folio 22) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30437,Plate (folio 24) from Les Petites filles (The Little Girls),Marie Laurencin,(French),1964,1960,France
30438,Title page (folio 4) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30439,Headpiece (page 1) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30440,Headpiece (page 3) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30441,Headpiece (page 5) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30442,In-text plate (page 7) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30443,Headpiece (page 11) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30444,Headpiece (page 13) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30445,Headpiece (page 15) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30446,Headpiece (page 16) and in-text plate (page 16) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30447,In-text plate (page 19) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30448,In-text plate (page 20) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30449,Headpiece (page 23) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30450,In-text plate (page 24) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30451,Headpiece (page 27) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30452,Headpiece (page 29) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30453,Headpiece (page 32) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30454,Headpiece (page 37) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30455,Headpiece (page 39) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30456,Headpiece (page 41) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30457,Headpiece (page 4) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30458,Headpiece (page 46) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30459,Headpiece (page 49) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30460,Headpiece (page 53) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30461,Headpiece (page 57) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30462,Headpiece (page 60) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30463,Headpiece (page 63) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
30464,Headpiece (page 67) from Fables of Aesop,Alexander Calder,(American),1966,1960,America
