,Title,Artist,Nationality,Years,Decades,Country
162,"Gericke House project, Wannsee-Berlin, Germany (Perspective of bedroom)",Ludwig Mies van der Rohe,(American),1963,1960,America
163,"Gericke House project, Wannsee-Berlin, Germany (Street and terrace elevations)",Ludwig Mies van der Rohe,(American),1963,1960,America
164,"Gericke House Project, Wannsee-Berlin, Germany, Elevation from the water",Ludwig Mies van der Rohe,(American),1963,1960,America
165,"Gericke House Project, Wannsee-Berlin, Germany, Elevation sketch, view from the water,",Ludwig Mies van der Rohe,(American),1963,1960,America
166,"Gericke House project, Wannsee-Berlin, Germany (Perspective view from dining room to living room and garden)",Ludwig Mies van der Rohe,(American),1963,1960,America
167,"Gericke House Project, Berlin-Wannsee, Germany, Interior perspective,",Ludwig Mies van der Rohe,(American),1963,1960,America
168,"Gericke House Project, Berlin-Wannsee, Germany, Interior perspectives,",Ludwig Mies van der Rohe,(American),1963,1960,America
169,"Mountain House Studies Project, No intended site known (possibly Merano, South Tyrol, Italy), Entrance elevation sketch",Ludwig Mies van der Rohe,(American),1963,1960,America
170,"Mountain House Studies Project, No intended site known (possibly Merano, South Tyrol, Italy), Perspective view",Ludwig Mies van der Rohe,(American),1963,1960,America
171,"Mountain House Studies, No intended site known (possibly Merano, South Tyrol, Italy), Sketch elevation for ""Glass House on a Hillside.""",Ludwig Mies van der Rohe,(American),1963,1960,America
172,"Hubbe House Project, Magdeburg, Germany (Floor plan with furniture placement [final version])",Ludwig Mies van der Rohe,(American),1963,1960,America
173,"Hubbe House project, Magdeburg, Germany (Interior perspective)",Ludwig Mies van der Rohe,(American),1963,1960,America
174,"Hubbe House Project, Magdeburg, Germany (Perspective terrace)",Ludwig Mies van der Rohe,(American),1963,1960,America
175,"Hubbe House Project, Magdeburg, Germany (Perspective view of living room and court)",Ludwig Mies van der Rohe,(American),1963,1960,America
176,"Hubbe House Project , Magdeburg, Germany (Perspective view of living room and terrace)",Ludwig Mies van der Rohe,(American),1963,1960,America
177,"Ulrich Lange House project, Krefeld, Germany, (Plan: second scheme)",Ludwig Mies van der Rohe,(American),1963,1960,America
178,"Resor House Project, Jackson Hole, Wyoming (Vertical section through column and outside wall)",Ludwig Mies van der Rohe,(American),1963,1960,America
179,"Resor House project, Jackson Hole, Wyoming (Interior perspective of living room [view through north glass wall])",Ludwig Mies van der Rohe,(American),1963,1960,America
180,"Resor House project, Jackson Hole, Wyoming (Interior perspective of living room and south glass wall)",Ludwig Mies van der Rohe,(American),1963,1960,America
181,Theater project (Combined elevation and section),Ludwig Mies van der Rohe,(American),1963,1960,America
182,"IIT Alumni Memorial Hall (Navy Building), Chicago, IL, (Vertical sections through wall at entrance and horizontal section through outside wall)",Ludwig Mies van der Rohe,(American),1963,1960,America
183,"IIT Master Plan, Chicago, IL (Campus, aerial perspective, preliminary version)",Ludwig Mies van der Rohe,(American),1963,1960,America
184,"IIT Master Plan, Chicago, Illinois, Campus, perspective, first version",Ludwig Mies van der Rohe,(American),1963,1960,America
185,"IIT Master Plan, Chicago, IL, Campus, site plan, early scheme",Ludwig Mies van der Rohe,(American),1963,1960,America
186,Museum for a Small City project (Plan),Ludwig Mies van der Rohe,(American),1963,1960,America
187,Museum for a Small City project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
188,Museum for a Small City project (Interior perspective),Ludwig Mies van der Rohe,(American),1963,1960,America
189,Museum for a Small City project (Perspective sketch),Ludwig Mies van der Rohe,(American),1963,1960,America
190,"IIT Library and Administration Building, Chicago, Illinois, Three vertical sections,",Ludwig Mies van der Rohe,(American),1963,1960,America
191,"IIT Library and Administration Building, Chicago, Illinois, Plan of main floor",Ludwig Mies van der Rohe,(American),1963,1960,America
192,"IIT Library and Administration Building, Chicago, Illinois, South, north, and west elevations",Ludwig Mies van der Rohe,(American),1963,1960,America
193,"IIT Library and Administration Building, Chicago, Illinois, Plan of mezzanine floor",Ludwig Mies van der Rohe,(American),1963,1960,America
194,"IIT Library and Administration Building, Chicago, Illinois, Perspective for southeast corner",Ludwig Mies van der Rohe,(American),1963,1960,America
195,"IIT Library and Administration Building, Chicago, IL, (Vertical and horizontal sections)",Ludwig Mies van der Rohe,(American),1963,1960,America
196,"Illinois Institute of Technology, Chicago, Illinois, (Power House: perspective rendering.)",Ludwig Mies van der Rohe,(American),1963,1960,America
197,"Court House Project, Plan",Ludwig Mies van der Rohe,(American),1963,1960,America
198,"Illinois Institute of Technology, Metallurgy and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
199,"Illinois Institute of Technology, Metallurgy and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
200,"Illinois Institute of Technology, Chemistry Building (Wishnick Hall), Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
201,"Farnsworth House, Plano, Illinois, Preliminary version: plan",Ludwig Mies van der Rohe,(American),1963,1960,America
202,"Promontory Apartment, Chicago, Illinois, Perspective rendering: steel scheme,",Ludwig Mies van der Rohe,(American),1963,1960,America
203,"Illinois Institute of Technology, Architecture and Applied Arts Building, Chicago, llinois, Perspective",Ludwig Mies van der Rohe,(American),1963,1960,America
204,"Concrete Office Building Project, Berlin, Germany (Exterior perspective)",Ludwig Mies van der Rohe,(American),1968,1960,America
205,Court House project (Interior perspective),Ludwig Mies van der Rohe,(American),1965,1960,America
206,Museum for a Small City project (Interior perspective),Ludwig Mies van der Rohe,(American),1966,1960,America
207,"Bacardi Office Building, Santiago de Cuba, Project, final version, Perpsective of columns and roof plate",Ludwig Mies van der Rohe,(American),1966,1960,America
208,"Ron Bacardi y Compania, S.A., Administration Building, project, Santiago, Cuba, Elevation of column with roof and glass wall, final version",Ludwig Mies van der Rohe,(American),1966,1960,America
209,"Brick Country House, project, Potsdam-Neubabelsberg, Plan",Ludwig Mies van der Rohe,(American),1966,1960,America
210,"Ron Bacardi y Compania, S.A., Administration Building project, Santiago, Cuba (Preliminary version: interior perspective)",Ludwig Mies van der Rohe,(American),1966,1960,America
211,"German Pavilion, International Exposition, Barcelona, Spain, Horizontal column section",Ludwig Mies van der Rohe,(American),1966,1960,America
212,"Convention Hall, project, Chicago, Illinois, Final version: vertical section",Ludwig Mies van der Rohe,(American),1966,1960,America
213,"Farnsworth House, Plano, Illinois (Elevation)",Ludwig Mies van der Rohe,(American),1966,1960,America
214,"Illinois Institute of Technology, Library and Administration Building, project, Chicago, Illinois (Interior perspective)",Ludwig Mies van der Rohe,(American),1966,1960,America
215,"Promontory Apartment Building, Chicago, Illinois, Perspective (from southeast)",Ludwig Mies van der Rohe,(American),1966,1960,America
216,"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Exterior perspective from north)",Ludwig Mies van der Rohe,(American),1966,1960,America
217,"Metropolitan Core, project, Sectional elevation",Raimund Abraham,(American),1968,1960,America
218,"Continuous Building Project, Perspective",Raimund Abraham,(American),1968,1960,America
219,"Transplantation II: Floating Underwater Environment, project, Aerial sectional perspective",Raimund Abraham,(American),1968,1960,America
220,"Universal House, project (Perspective)",Raimund Abraham,(American),1968,1960,America
221,"Universal City, project, Sectional perspective",Raimund Abraham,(American),1968,1960,America
222,"Universal City, project, Aerial perspective of New York",Raimund Abraham,(American),1968,1960,America
223,"Universal City, from the Linear City Series, project, Aerial perspective of Earth's horizon",Raimund Abraham,(American),1968,1960,America
224,"Schröder House, Utrecht, The Netherlands","Gerrit Rietveld, Mrs. Truus Schröder-Schräder",(Dutch) (),1966,1960,Other
225,Salad Serving Set,Carl Auböck,(Austrian),1968,1960,Other
